COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10002,宜蘭縣,166457,457671,231855,225816,"105Y09M"
10015,花蓮縣,125167,331223,168636,162587,"105Y09M"
09020,金門縣,39106,134419,67225,67194,"105Y09M"
10008,南投縣,177274,506052,259449,246603,"105Y09M"
10013,屏東縣,285583,837048,428461,408587,"105Y09M"
10005,苗栗縣,185450,560271,288890,271381,"105Y09M"
68000,桃園市,765688,2136702,1066819,1069883,"105Y09M"
64000,高雄市,1080508,2778332,1379143,1399189,"105Y09M"
10017,基隆市,151636,372019,186560,185459,"105Y09M"
09007,連江縣,2643,12586,7191,5395,"105Y09M"
10009,雲林縣,239262,695925,361645,334280,"105Y09M"
65000,新北市,1521700,3974911,1951006,2023905,"105Y09M"
10018,新竹市,159587,436220,215770,220450,"105Y09M"
10004,新竹縣,186738,546272,279514,266758,"105Y09M"
10020,嘉義市,98851,269890,131488,138402,"105Y09M"
10010,嘉義縣,182500,516531,268761,247770,"105Y09M"
10007,彰化縣,384130,1287665,657156,630509,"105Y09M"
66000,臺中市,939545,2759887,1363129,1396758,"105Y09M"
63000,臺北市,1046849,2696316,1290311,1406005,"105Y09M"
10014,臺東縣,82531,221199,114445,106754,"105Y09M"
67000,臺南市,676638,1885499,943148,942351,"105Y09M"
10016,澎湖縣,39040,102880,52960,49920,"105Y09M"
